ID,meter_point_key,park_key,park_type,park_type_human,Round_Day(markets_at),contract_at,Round_Day(expires_at),Leistung [W],ownconsumption,latitude,longitude,Performance
1328,ZP_ID_1440,50H_SO_Waren_02,solar,Photovoltaikanlage,2021-08-12T00:00:00,2021-08-12 02:00:00,,676560,,53.53,12.64,1.0
1342,ZP_ID_1517,50H_SO_Waren_DE029071,solar,Photovoltaikanlage,2021-11-01T00:00:00,2018-10-01 02:00:00,,186960,0.7,53.52,12.65,1.0
297,ZP_ID_0856,50H_SO_Warlin,solar,Photovoltaikanlage,2020-02-26T00:00:00,2019-06-18 02:00:00,,749840,,53.62,13.34,1.0
298,VZP_ID_173,50H_SO_Weinbergen_1_(EB),solar,Photovoltaikanlage,2019-12-09T00:00:00,2019-02-16 01:00:00,,323675,,51.17,10.52,1.0
299,VZP_ID_174,50H_SO_Weinbergen_2_(EB),solar,Photovoltaikanlage,2019-12-09T00:00:00,2019-06-23 02:00:00,,84700,,51.17,10.52,1.0
300,VZP_ID_175,50H_SO_Weinbergen_3_(EB),solar,Photovoltaikanlage,2019-12-09T00:00:00,2019-03-14 01:00:00,,169400,,51.17,10.52,1.0
301,VZP_ID_176,50H_SO_Weinbergen_4_(EB),solar,Photovoltaikanlage,2019-12-09T00:00:00,2019-02-10 01:00:00,,169400,,51.17,10.52,1.0
302,VZP_ID_202,50H_SO_Weinbergen_6_(EB),solar,Photovoltaikanlage,2020-08-01T00:00:00,2020-05-04 02:00:00,,128000,,51.17,10.52,1.0
303,VZP_ID_203,50H_SO_Weinbergen_7_(EB),solar,Photovoltaikanlage,2020-08-01T00:00:00,2020-04-26 02:00:00,,115200,,51.17,10.52,1.0
304,VZP_ID_204,50H_SO_Weinbergen_8_(EB),solar,Photovoltaikanlage,2020-08-01T00:00:00,2020-05-08 02:00:00,,115200,,51.17,10.52,1.0
305,VZP_ID_205,50H_SO_Weinbergen_9_(EB),solar,Photovoltaikanlage,2020-08-01T00:00:00,2020-04-03 02:00:00,,192000,,51.17,10.52,1.0
306,VZP_ID_184,50H_SO_Weißwasser-Altwerk_0001,solar,Photovoltaikanlage,2020-01-01T00:00:00,2020-01-01 01:00:00,,749995,,51.5,14.65,1.0
307,VZP_ID_185,50H_SO_Weißwasser-Altwerk_0002,solar,Photovoltaikanlage,2020-01-01T00:00:00,2019-02-09 01:00:00,,749700,,51.5,14.65,1.0
308,ZP_ID_0761,50H_SO_Weißwasser-Neuwerk,solar,Photovoltaikanlage,2019-05-09T00:00:00,2019-01-03 01:00:00,,749990,,51.5,14.65,1.0
309,ZP_ID_0882,50H_SO_Weißwasser_DE028063,solar,Photovoltaikanlage,2019-09-12T00:00:00,2018-08-30 02:00:00,,233750,0.7,51.5,14.64,1.0
310,ZP_ID_0570,50H_SO_Werder_DE020052,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,137200,0.7,52.36,12.94,1.0
2005,,50H_SO_Werneuchen_DE024000,solar,Photovoltaikanlage,2023-05-01T00:00:00,2018-10-01 02:00:00,,736000,0.7,52.62,13.66,1.0
311,ZP_ID_0142,50H_SO_Werther,solar,Photovoltaikanlage,2015-01-01T00:00:00,2019-01-01 01:00:00,2022-12-31T00:00:00,753480,,51.48,10.74,1.0
312,VZP_ID_183,50H_SO_Werther Pützlingen_01_(EB),solar,Photovoltaikanlage,2020-02-01T00:00:00,2019-09-10 02:00:00,,443850,,51.52,10.62,1.0
313,VZP_ID_182,50H_SO_Werther Pützlingen_02_(EB),solar,Photovoltaikanlage,2020-02-01T00:00:00,2019-09-10 02:00:00,,205700,,51.52,10.62,1.0
1287,ZP_ID_1413,50H_SO_Wiedemar_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,213120,,51.47,12.23,1.0
314,ZP_ID_0270,50H_SO_Wiederstedt,solar,Photovoltaikanlage,2016-04-01T00:00:00,2016-01-02 01:00:00,,630140,,51.67,11.52,1.0
962,ZP_ID_1216,50H_SO_Wiednitz,solar,Photovoltaikanlage,2021-02-01T00:00:00,2020-12-28 01:00:00,,556920,,8.3,14.03,1.0
1774,ZP_ID_1784,50H_SO_Wiednitz_02,solar,Photovoltaikanlage,2021-02-01T00:00:00,2021-02-01 01:00:00,,192780,,51.39,14.03,1.0
1067,ZP_ID_1247,50H_SO_Wiendorf-Niendorf,solar,Photovoltaikanlage,2021-04-01T00:00:00,2021-03-05 01:00:00,,253920,,53.94,12.14,1.0
