id,meter_point_key,park_key,park_type,Round_Month(markets_at),contract_at,Round_Month(expires_at),power,ownconsumption,latitude,longitude,contract_type
1,"ZP_ID_1018","50H_KWK_Burg","cogeneration",2020-05-01T00:00:00,"2020-03-04 01:00:00",,142000,,51.8424268,14.1477495,"online"
1262,"ZP_ID_1391","50H_NF_BI_Nauen_01_(RD)","biomass",2021-10-01T00:00:00,,,537000,,52.59859,12.84526,"redispatch_only"
1263,"ZP_ID_1392","50H_NF_BI_Nauen_02_(RD)","biomass",2021-10-01T00:00:00,,,537000,,52.59859,12.84526,"redispatch_only"
2,"ZP_ID_0947","50H_SO_Adorf","solar",2019-11-01T00:00:00,"2019-10-23 02:00:00",,465000,,50.3132714,12.1988931,"online"
1086,"ZP_ID_1282","50H_SO_Adorf_DE031085","solar",2021-09-01T00:00:00,"2018-10-01 02:00:00",,129310,0.7,50.3083699,12.2534249,"online_special"
3,"ZP_ID_0534","50H_SO_Allstedt","solar",2018-06-01T00:00:00,"2018-06-13 02:00:00",,111950,,51.409302,11.351843,"online"
1370,"ZP_ID_1470","50H_SO_Allstedt_02","solar",2021-11-01T00:00:00,"2021-09-27 02:00:00",,159840,0.3,51.4002083,11.3813918,"online"
1186,"ZP_ID_1302","50H_SO_Altenburg_(RD)","solar",2021-10-01T00:00:00,,,685900,,51.0055,12.45298,"redispatch_only"
4,"ZP_ID_0709","50H_SO_Altenburg_DE021070","solar",2018-11-01T00:00:00,"2018-08-30 02:00:00",,124200,0.7,50.9998384,12.4402184,"online_special"
5,"ZP_ID_0619","50H_SO_Altentreptow_DE029029","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,165200,0.7,53.688585,13.2492663,"online_special"
6,"ZP_ID_0591","50H_SO_Altglienicke_DE028052","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,109200,0.7,52.40569,13.5235125,"online_special"
1157,"ZP_ID_1304","50H_SO_Ammern_(RD)","solar",2021-10-01T00:00:00,,,460200,,51.2380106,10.453264,"redispatch_only"
1118,"ZP_ID_1540","50H_SO_Ammern_DE031003","solar",2021-12-01T00:00:00,"2018-10-01 02:00:00",,190920,0.7,51.2398573,10.4591351,"online_special"
1897,"ZP_ID_1906","50H_SO_Angermünde_DE024028","solar",2023-02-01T00:00:00,"2018-10-01 02:00:00",,187220,0.7,53.0163094,14.013567,"online_special"
7,"ZP_ID_1015","50H_SO_Anklam_DE029038","solar",2020-04-01T00:00:00,"2018-08-30 02:00:00",,173250,0.7,53.8594541,13.69392263,"online_special"
979,"ZP_ID_1211","50H_SO_Anrode_01","solar",2021-01-01T00:00:00,"2020-12-10 01:00:00",,748000,,51.254313,10.360996,"online_no_login"
980,"ZP_ID_1212","50H_SO_Anrode_02","solar",2021-01-01T00:00:00,"2020-12-10 01:00:00",,748800,,51.25569,10.36195,"online_no_login"
8,"ZP_ID_0917","50H_SO_Apolda","solar",2019-11-01T00:00:00,"2019-09-24 02:00:00",,499720,0.11,51.0007471,11.446442,"online"
1235,"ZP_ID_1371","50H_SO_Apolda_02_(RD)","solar",2021-10-01T00:00:00,,,139230,,51.0112314,11.4715272,"redispatch_only"
981,"ZP_ID_1158","50H_SO_Arnstadt_DE031040","solar",2021-01-01T00:00:00,"2018-08-30 02:00:00",,121940,0.7,50.858286,10.9598494,"online_special"
9,"ZP_ID_0719","50H_SO_Artern_01","solar",2018-12-01T00:00:00,"2018-06-24 02:00:00",,749550,,51.37495575,11.28505003,"online"
10,"ZP_ID_0720","50H_SO_Artern_02","solar",2018-12-01T00:00:00,"2018-06-24 02:00:00",,746700,,51.3740968,11.28758,"online"
11,"ZP_ID_1069","50H_SO_Artern_03","solar",2020-09-01T00:00:00,"2020-06-23 02:00:00",,436920,,51.3740968,11.28758,"online"
905,"VZP_ID_215","50H_SO_Aschersleben_02","solar",2020-08-01T00:00:00,"2020-06-14 02:00:00",,809160,,51.7670984,11.449457,"online"
906,"VZP_ID_216","50H_SO_Aschersleben_03","solar",2020-12-01T00:00:00,"2020-10-26 01:00:00",,777920,,51.77137,11.44428,"online"
14,"ZP_ID_1100","50H_SO_Aschersleben_DE026073","solar",2020-09-01T00:00:00,"2018-08-30 02:00:00",,139260,0.7,51.7628399,11.4495476,"online_special"
15,"ZP_ID_0630","50H_SO_Aschersleben_DE026074","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,136080,0.7,51.750164,11.4600813,"online_special"
16,"ZP_ID_0407","50H_SO_Aspenstedt","solar",2017-10-01T00:00:00,"2017-07-04 02:00:00",,129870,,51.935335,10.946999,"online"
1163,"ZP_ID_1343","50H_SO_Axien_(RD)","solar",2021-10-01T00:00:00,,,117000,,51.7023598,12.8808962,"redispatch_only"
17,"ZP_ID_0563","50H_SO_Bad Düben_DE021039","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,112560,0.7,51.599471,12.5918854,"online_special"
18,"ZP_ID_0912","50H_SO_Bad Freienwalde_DE024015","solar",2020-08-01T00:00:00,"2018-08-30 02:00:00",,168840,0.7,52.7945387,14.0433842,"online_special"
19,"ZP_ID_0514","50H_SO_Bad Langensalza","solar",2018-06-01T00:00:00,"2017-12-18 01:00:00",,119350,,51.120045,10.638821,"online"
20,"ZP_ID_0542","50H_SO_Bad Schmiedeberg_01","solar",2018-10-01T00:00:00,"2018-07-25 02:00:00",,749840,,51.7431953,12.771962,"online_no_login"
21,"ZP_ID_0543","50H_SO_Bad Schmiedeberg_02","solar",2018-10-01T00:00:00,"2018-07-25 02:00:00",,637150,,51.7515689,12.7551455,"online_no_login"
1243,"ZP_ID_1363","50H_SO_Bad_Langensalza_(RD)","solar",2021-10-01T00:00:00,,,250390,,51.1281181,10.6755601,"redispatch_only"
1200,"ZP_ID_1321","50H_SO_Bad_Langensalza_01_(RD)","solar",2021-10-01T00:00:00,,,195000,,51.0824119,10.5780478,"redispatch_only"
1203,"ZP_ID_1324","50H_SO_Bad_Langensalza_02_(RD)","solar",2021-10-01T00:00:00,,,165000,,51.0824119,10.5780478,"redispatch_only"
1170,"ZP_ID_1351","50H_SO_Bad_Langensalza_03_(RD)","solar",2021-10-01T00:00:00,,,104000,,51.0824119,10.5780478,"redispatch_only"
1692,"ZP_ID_1704","50H_SO_Bad_Langensalza_DE031043_(RD)","solar",2022-03-01T00:00:00,,,126360,,51.1063461,10.6550238,"redispatch_only_special"
22,"ZP_ID_0812","50H_SO_Ballenstedt","solar",2019-06-01T00:00:00,"2019-02-23 01:00:00",,698820,,51.739595,11.17753,"online_no_login"
23,"ZP_ID_0829","50H_SO_Ballenstedt_02","solar",2019-06-01T00:00:00,"2019-03-21 01:00:00",,749840,,51.736671,11.1702521,"online_no_login"
1974,"ZP_ID_1941","50H_SO_Bandelstorf","solar",2023-04-01T00:00:00,"2023-04-01 02:00:00",,131480,,54.0370686,12.2935243,"online"
24,"ZP_ID_0976","50H_SO_Barchfeld-Immelborn","solar",2020-02-01T00:00:00,"2019-12-10 01:00:00",,749700,,50.80904945,10.2961157,"online_no_login"
25,"ZP_ID_0592","50H_SO_Barth_DE029004","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,182000,0.7,54.356539,12.7197968,"online_special"
1475,"ZP_ID_1605","50H_SO_Bautzen_DE036067","solar",2022-02-01T00:00:00,"2018-10-01 02:00:00",,182400,0.7,51.1802198,14.4036505,"online_special"
1975,"ZP_ID_1943","50H_SO_Bentwisch","solar",2023-04-01T00:00:00,"2023-04-01 02:00:00",,139350,,54.1212676,12.2303345,"online"
1965,"ZP_ID_1937","50H_SO_Berga_01","solar",2023-04-01T00:00:00,"2023-04-01 02:00:00",,440250,,51.4563966,10.9994059,"online"
